State,Date,Value,Anomaly
Oklahoma,201704,62.9,3.2
Oklahoma,201804,59.8,0.1
Oklahoma,201904,60.3,0.6
Oklahoma,202004,60.8,1.1
Oklahoma,202104,59.5,-0.2
Oklahoma,202204,61.2,1.5
Oregon,201504,50.5,4
Oregon,201604,49.9,3.4
Oregon,201704,47.2,0.7
Oregon,201804,48.7,2.2
Oregon,201904,47.9,1.4
Oregon,202004,47.8,1.3
Oregon,202104,48.7,2.2
Oregon,202204,49.1,2.6
Pennsylvania,201504,47.3,-0.8
Pennsylvania,201604,51.8,3.7
Pennsylvania,201704,51.8,3.7
Pennsylvania,201804,48.6,0.5
Pennsylvania,201904,50.4,2.3
Pennsylvania,202004,50.9,2.8
Pennsylvania,202104,50.6,2.5
Pennsylvania,202204,50.5,2.4
Rhode Island,201504,48.8,0.2
Rhode Island,201604,53,4.4
Rhode Island,201704,52.3,3.7
Rhode Island,201804,50.9,2.3
Rhode Island,201904,51.4,2.8
Rhode Island,202004,51.6,3
Rhode Island,202104,52.3,3.7
Rhode Island,202204,52.4,3.8
South Carolina,201504,62.6,0.2
South Carolina,201604,65.2,2.8
South Carolina,201704,66.1,3.7
South Carolina,201804,63.4,1
South Carolina,201904,64.9,2.5
South Carolina,202004,65.5,3.1
South Carolina,202104,63.7,1.3
South Carolina,202204,64,1.6
South Dakota,201504,45.7,1.1
South Dakota,201604,48.2,3.6
South Dakota,201704,47.5,2.9
South Dakota,201804,44.2,-0.4
South Dakota,201904,43.8,-0.8
South Dakota,202004,44.7,0.1
South Dakota,202104,46.8,2.2
South Dakota,202204,47.2,2.6
Tennessee,201504,57,-0.7
Tennessee,201604,60.2,2.5
Tennessee,201704,61.7,4
Tennessee,201804,57.8,0.1
Tennessee,201904,59.9,2.2
Tennessee,202004,60.2,2.5
Tennessee,202104,58.5,0.8
Tennessee,202204,59,1.3
Texas,201504,65,0.4
Texas,201604,66.9,2.3
Texas,201704,68.1,3.5
Texas,201804,65.7,1.1
Texas,201904,65.9,1.3
Texas,202004,66.6,2
